#BLTrackFile NTuple/Z15050
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
-42.4668 112.591 15050 -33.1841 75.2603 322.175 78.3182 -13 169321 1001 1 1
-210.04 -12.809 15050 -189.761 -9.50492 280.505 98.7605 -13 170252 1001 1 1
-254.473 -37.3435 15050 -213.591 -31.2893 250.968 204.862 -13 170581 1001 1 1
49.073 42.6967 15050 15.5484 25.9541 250.258 98.9749 -13 170729 1001 1 1
-288.219 156.919 15050 -170.651 80.8291 172.152 90.4062 -13 171561 1001 1 1
-38.048 -24.7528 15050 -30.6249 -15.7464 242.334 53.9141 -13 172113 1001 1 1
-29.1016 79.2602 15050 -34.0823 37.6831 258.284 81.8476 -13 172422 1001 1 1
19.3711 21.0545 15050 13.4978 -16.2542 311.352 171.38 -13 172427 1001 1 1
-208.923 166.739 15050 -185.085 152.589 302.477 71.1094 211 173024 1 0 1
-56.295 -8.76726 15050 -54.2872 -19.9852 249.027 83.4058 -13 173257 1001 1 1
-29.8566 33.793 15050 -55.6946 9.19189 340.338 122.56 -13 173952 1001 1 1
129.969 108.83 15050 64.1918 53.8274 187.075 92.468 -13 174030 1001 1 1
-257.476 12.3128 15050 -135.109 3.04007 164.512 65.6033 -13 174218 1001 1 1
-77.4721 -4.97495 15050 -61.6915 -3.78476 210.465 64.7667 -13 175545 1001 1 1
-148.754 -34.0646 15050 -116.309 -50.6448 236.527 158.41 -13 178666 1001 1 1
78.8607 3.21614 15050 65.3379 4.03375 401.058 55.9541 -13 179099 1001 1 1
-0.27218 7.24233 15050 -9.99324 -34.1057 392.628 113.792 211 179631 1 0 1
-13.1195 26.6725 15050 -1.73703 16.7853 276.438 56.151 -13 179703 1001 1 1
2.94345 185.77 15050 -15.6347 96.495 190.361 169.772 -13 179878 1001 1 1
